employee_id,department,hire_date,salary
EMP0059,ENGINEERING,2019-06-16,n/a
EMP0041,saLes,2014-09-15,"$93,466"
EMP0035,MARKETING,2021-01-18,"$58,959"
EMP0103,marketing,2013-12-20,"$52,176"
EMP0185,FINANCE,2018-06-11,"$82,678"
EMP0199,MARKETING,not available,null
EMP0096,mARkEtinG,not available,"$67,349"
EMP0005,sALeS,2020-02-19,"$48,304"
EMP0030,finance,2010-05-09,"$94,070"
EMP0169,engineering,2022-12-27,n/a
EMP0172,OPERATIONS,2015-08-10,"$62,115"
EMP0019,ENGINEERING,2019-01-23,NA
EMP0012,finance,2022-10-22,N/A
EMP0090,sales,2013-02-18,"$73,113"
EMP0111,SALES,N/A,"$60,001"
EMP0119,MARKETING,2013-09-13,null
EMP0160,sales,not available,"$99,162"
EMP0036,SALES,2020-09-10,"$42,642"
EMP0137,sales,2012-09-18,"$46,516"
EMP0060,marketing,2021-04-23,"$73,707"
EMP0052,hr,not available,"$38,080"
EMP0017,MARKETING,2010-05-15,null
EMP0045,sales,2010-09-25,"$45,475"
EMP0095,engineering,2020-04-27,"$65,760"
EMP0032,MARKETING,2013-03-21,"$48,888"
EMP0163,OPERATIONS,2021-11-10,"$53,635"
EMP0039,sALeS,2010-06-09,"$58,921"
EMP0029,hr,2022-07-05,"$55,025"
EMP0194,SALES,2016-09-21,"$36,427"
EMP0028,FINANCE,N/A,"$102,692"
EMP0048,hr,2010-08-14,"$106,984"
EMP0166,salES,2018-02-01,NULL
EMP0195,finance,2017-07-07,N/A
EMP0178,engineering,not available,
EMP0177,finance,2011-04-27,"$76,113"
EMP0098,hr,2010-10-19,"$93,544"
EMP0175,operations,2012-01-25,"$46,136"
EMP0074,ENGINEERING,2011-07-19,"$50,526"
EMP0070,engineering,2010-01-02,"$39,539"
EMP0173,engineering,2016-05-13,"$90,061"
EMP0109,FINANCE,2015-12-12,"$99,746"
EMP0108,hr,2012-11-07,n/a
EMP0190,engineering,#N/A,"$37,237"
EMP0015,sales,not available,"$78,876"
EMP0057,SALES,2013-06-07,"$108,846"
EMP0020,engineering,not available,"$70,719"
EMP0115,operations,2018-03-26,n/a
EMP0040,OPERATIONS,N/A,"$106,652"
EMP0186,Hr,2019-04-07,"$58,822"
EMP0125,sales,2013-11-25,"$80,270"
EMP0099,engineering,2010-01-15,"$70,042"
EMP0124,engineering,2012-03-25,"$46,284"
EMP0120,hr,2018-06-12,NULL
EMP0054,sales,2013-12-23,N/A
EMP0034,FINANCE,#N/A,"$77,163"
EMP0180,operations,2017-01-16,NA
EMP0182,hr,N/A,"$51,226"
EMP0107,engineering,2015-03-08,"$103,563"
EMP0200,finance,2017-08-09,"$88,107"
EMP0139,sales,2016-09-22,
EMP0117,hR,2017-12-20,"$71,197"
EMP0068,oPEratioNs,2021-08-11,N/A
EMP0079,HR,2017-06-01,"$52,291"
EMP0043,OPERATIONS,2022-05-27,N/A
EMP0018,marketing,2011-06-21,N/A
EMP0006,hr,2020-12-26,"$46,658"
EMP0128,ENGINEERING,2014-08-03,"$45,365"
EMP0106,hr,2019-03-19,"$53,186"
EMP0049,operations,2021-09-10,
EMP0067,hr,2021-12-02,"$82,667"
EMP0055,HR,,"$77,911"
EMP0085,maRkEting,2021-03-11,"$66,108"
EMP0184,engineering,N/A,"$66,052"
EMP0159,EnGInEERIng,,"$109,639"
EMP0167,HR,N/A,"$107,620"
EMP0114,sales,2023-04-24,"$59,805"
EMP0013,sales,2019-03-13,
EMP0118,finance,2020-08-17,NULL
EMP0094,operations,2023-05-01,
EMP0121,engineering,,"$99,798"
EMP0155,hr,2020-04-07,"$69,337"
EMP0091,OPERATIONS,2011-07-07,n/a
EMP0082,engineering,2021-12-21,"$35,124"
EMP0123,oPeRatIONs,2016-04-16,"$49,351"
EMP0192,finance,2017-04-15,"$60,986"
EMP0014,finance,N/A,"$94,398"
EMP0083,operations,2016-12-12,"$56,749"
EMP0133,operations,,NA
EMP0188,SALES,?,"$40,858"
EMP0046,MARKETING,2010-02-28,"$37,688"
EMP0100,engineering,2018-06-01,NULL
EMP0037,marketing,2021-11-01,N/A
EMP0162,hr,2015-06-02,null
EMP0187,ENGINEERING,2018-02-16,N/A
EMP0154,OPERations,2015-11-26,"$81,434"
EMP0104,marketing,2022-02-26,"$59,187"
EMP0196,marketing,2018-08-17,NA
EMP0198,FINANCE,2015-12-19,"$89,389"
EMP0149,marketing,2023-09-21,n/a
EMP0174,SAlEs,2016-03-12,n/a
EMP0076,sales,2017-02-20,"$57,655"
EMP0022,finance,2019-01-16,"$109,603"
EMP0092,SALES,2019-06-25,NULL
EMP0153,engineering,2018-06-14,"$74,994"
EMP0003,sales,2017-07-28,"$57,477"
EMP0071,operations,?,"$102,335"
EMP0086,SALES,2020-11-02,"$99,708"
EMP0151,operations,2011-05-02,"$56,050"
EMP0007,marketing,,n/a
EMP0113,SALES,2015-03-22,"$90,796"
EMP0001,hr,,"$99,096"
EMP0156,FINANCE,2018-08-14,"$47,205"
EMP0078,engineering,2020-02-22,"$64,559"
EMP0066,sales,?,"$43,370"
EMP0056,HR,2021-12-03,N/A
EMP0168,finance,2014-05-13,"$80,257"
EMP0089,finance,,"$43,332"
EMP0131,sales,2017-05-13,"$41,736"
EMP0047,finance,2012-03-25,"$105,352"
EMP0063,engineering,2011-02-13,"$38,563"
EMP0075,hr,#N/A,NULL
EMP0093,operations,2017-11-13,"$37,193"
EMP0148,marketing,N/A,"$98,708"
EMP0161,marketing,2012-07-03,"$56,835"
EMP0144,marketing,N/A,"$77,691"
EMP0088,HR,2012-12-07,n/a
EMP0181,operations,N/A,NULL
EMP0146,finance,2011-06-28,
EMP0165,finance,2023-07-16,"$76,770"
EMP0011,operations,2010-04-18,"$39,547"
EMP0033,finance,2016-09-28,"$47,839"
EMP0084,operations,2012-07-23,"$43,405"
EMP0183,engineering,2017-09-10,"$73,655"
EMP0101,hr,2010-06-22,"$74,730"
EMP0126,ENGINEERING,2023-11-06,"$38,553"
EMP0024,finance,2019-11-19,"$85,595"
EMP0127,sales,2017-11-20,"$58,926"
EMP0010,operations,2023-07-27,"$56,243"
EMP0171,hr,2014-08-25,"$40,958"
EMP0105,ENGINEERING,,NULL
EMP0152,engineering,2014-07-11,"$99,003"
EMP0136,sales,2023-01-28,"$37,346"
EMP0112,hr,2012-03-10,null
EMP0189,HR,2013-07-25,"$99,641"
EMP0065,hR,2021-10-07,"$98,899"
EMP0016,hr,not available,"$93,787"
EMP0042,operations,2019-11-22,"$73,455"
EMP0164,opeRationS,2013-07-06,
EMP0110,FINANCE,?,"$86,245"
EMP0081,sales,2011-12-21,NA
EMP0053,marketing,2023-07-03,"$38,843"
EMP0027,finance,2019-01-04,"$85,370"
EMP0077,hr,,"$71,788"
EMP0044,finance,2010-05-14,"$67,473"
EMP0025,hr,2018-10-12,"$54,174"
EMP0004,ENGINEERING,2022-11-22,"$59,187"
EMP0170,finance,2010-12-18,"$108,849"
EMP0050,operations,2018-02-28,NULL
EMP0150,engineering,2013-11-17,"$35,355"
EMP0132,FinAncE,2019-09-21,"$35,694"
EMP0191,engineering,2014-05-09,"$90,192"
EMP0031,sales,2013-06-24,NULL
EMP0122,operations,2018-02-08,"$88,367"
EMP0116,SALES,2016-06-09,"$104,779"
EMP0176,operations,2013-05-27,"$58,880"
EMP0009,OPERATIONS,2015-09-08,"$35,115"
EMP0061,marketing,2023-10-08,
EMP0129,finance,2015-07-19,"$36,542"
EMP0002,sales,2014-09-14,"$53,103"
EMP0058,hr,2010-10-16,"$69,134"
EMP0023,EnGiNEeRiNG,2011-11-27,"$79,177"
EMP0062,sales,2022-09-26,n/a
EMP0064,marketing,2020-09-24,"$38,822"
EMP0008,HR,2011-07-21,"$100,574"
EMP0197,OPERATIONS,2017-09-18,"$84,437"
EMP0142,SALES,,"$53,123"
EMP0087,FINANCE,2010-10-26,"$47,192"
EMP0097,SAleS,#N/A,"$76,337"
EMP0069,operations,2016-05-27,null
EMP0051,finance,not available,null
EMP0143,hr,2022-12-04,N/A
EMP0158,FINANCE,2018-11-04,"$92,971"
EMP0157,sales,2015-02-10,"$102,253"
EMP0140,OPERATIONS,2017-07-12,"$81,511"
EMP0147,hr,?,"$86,560"
EMP0102,hr,2010-06-12,NULL
EMP0021,finance,2010-01-19,
EMP0179,maRkEtING,2014-04-15,n/a
EMP0026,marketing,2011-01-28,NULL
EMP0135,MARKETING,2016-08-15,null
EMP0072,hr,2012-03-04,N/A
EMP0130,hr,2018-08-10,"$103,912"
EMP0145,sales,2011-04-06,NULL
EMP0193,sales,2012-03-28,n/a
EMP0080,OPERATIONS,,"$66,246"
EMP0134,sales,2019-10-23,N/A
EMP0138,finance,2012-05-09,"$43,297"
EMP0073,Hr,?,"$68,696"
EMP0141,sales,2019-11-15,
EMP0038,marketing,2012-01-04,"$83,969"
